chunk_text,compound_score,sentiment_label,manuel,compound_score_trad
forcément ce qu'il devrait faire en appliquant scrupuleusement et de façon impartiale le droit on est très bien en droit de se dire que pour toutes ces autres choses là il pourra également y avoir des dérives et s'il y,-0.4588,négatif,0.7,0.0
a des dérives et que les juges ne font pas leur boulot à savoir de contrôler les dérives éventuelles de la d'un exécutif on a législatif qu'est-ce qu'on fait et là la petite énumération que j'ai commencé à faire elle,0.0,neutre,0.8,0.0
est pas finie ce quand vous allez après avec la surveillance par l'intelligence artificielle et je vous en je vous rappelle que pour les Jeux Olympiques de Paris en 2024 ça a déjà été approuvé par le Parlement ils ont,0.0,neutre,0.7,0.7096
voté donc ça veut dire que ça aussi c'est pareil ça commence toujours un petit peu on dit toujours que c'est un petit peu facultatif ou qu'on fait des essais et puis après ça ça reste ancré ça reste dans,-0.4588,négatif,0.8,0.0
la société ça se développe partout tout comme finalement ce qu'on a vu avec le pass sanitaire qui maintenant va devenir mondial alors que ça devait être temporaire rappelez-vous donc ensuite vous avez la monnaie numérique l'euro numérique notamment où,-0.128,négatif,0.6,0.0
là dans l’ Immédiat on commençait à avoir des exemples du style vous pourrez pas dépenser plus de 50 euros par jour et avoir 3000 euro d’épargne même les épargne sera maximale que vous aurez vous serez en droit d'avoir,0.0,neutre,0.8,0.2732
après vous avez toute la philosophie et l'idéologie du transhumanisme de l'eugénisme grandement propagé par le World économique forum dont son président Klaus Schwab est un ex membre en plus du fameux club de builderberg dont TF1 a fait une,0.0,neutre,0.3,0.0
émission dessus en 1977 et donc c'est quelque chose encore une fois on peut vous dire avec le sourire qui n'est pas complotiste puisque même si les médias de masse prouvent que leur existence est bien avérée avec des hauts,-0.4588,négatif,0.5,0.7845
chefs occidentaux qui font partie de ces réunions et on n'a pas du tout vu sur l'ordre du jour on est quand même en droit de se dire mais de quoi ressort ces réunions qu'est-ce qu'il en ressort en fait,-0.5423,négatif,0.6,0.1406
vous avez ici l'ascenseur des libertés d'opinion d'expression que Ursula Van der Leyen la présidente de la Commission européenne a appelé de ses vœux pour pouvoir effectivement comme elle le dit dans des beaux des belles des belles exercices de,0.0,neutre,0.3,0.891
communication protéger l'état droit et la démocratie alors que c'est clairement une inversion des valeurs parce que quand vous vous limitez justement les libertés d'opinion expression normalement ce qui on devrait faire c'est que lorsque vous dépassez les bornes et,0.0,neutre,0.6,0.8481
que vous vous rendez coupable de délits pénaux là vous êtes vous êtes interpellé arrêté et puis on enquête mais si on vous supprime d'ores et déjà la possibilité même d'exprimer votre opinion et votre vos expressions bah là en,0.0,neutre,0.6,-0.7351
fait on tombe dans un régime qui est complètement différent de la démocratie et en fait moi ce que j'essaie de vous faire comprendre là c'est que si vous regardez ça au niveau sciences politiques que vous prenez tout ce,-0.128,négatif,0.4,0.0
que je viens de vous dire et parce que tout ça ça a commencé à peu près là à être mis en forme par des actes juridiques qui sont prêts pour signature dès 2024 ou par la loi quasiment déjà,-0.5423,négatif,0.6,0.4588
votée et acceptée comme pour l'intelligence artificielle pour la surveillance pour les Jeux Olympiques de Paris en fait on arrive dans de genre dans ce genre de société ou si vous avez les mêmes dérives qui se sont passés avec,0.0,neutre,0.6,0.6369
le covid et que vous n'arrivez pas à contrôler en fait ces dérives vous serez mathématiquement et en regardant les définitions dans des dictionnaires de sciences politiques vous serez face à quelque chose quand ça en a le goût quand,0.0,neutre,0.3,0.0
ça en a l’odeur l'apparence et l'expression vous serez dans un régime qu'on appelle fasciste juste en regardant les technologies les qualifications de la définition,0.0,neutre,0.8,-0.2732
